time,acc_x_1,acc_y_1,acc_z_1_1,acc_x_2,acc_y_2,acc_z_1_2,gyro_1_1,gyro_2_1,gyro_3_1,gyro_1_2,gyro_2_2,gyro_3_2,altitude,temperature
21.04901,0.3303998,2.760515,4.982332,0.03830722,2.949657,0,0.0,0.0,-0.20144568,0.007194488,0.007194488,-0.2616662,10.571736,28.206832
21.372008,0.653617,2.492364,3.696647,0.01915361,2.60968,0,0.2728576,0.2728576,0.0362389,0.3090966,0.3090966,0.0021317,10.698568,28.206832
21.843008,1.101333,0.0,5.535394,0.68953,0.3184288,0,0.2728576,0.2728576,-0.2384839,0.3072312,0.3072312,-0.2280919,10.5004,28.186916
22.163,0.09576808,1.381454,2.509123,0.7757214,1.2306196,0,0.1366952,0.1366952,-0.528395,0.06195252,0.06195252,-0.4860276,10.614016,28.21172
22.482,0.3112462,0.009576806,4.903324,0.02633622,0.01436521,0,0.03437364,0.03437364,0.10232158,-1.292477,-1.292477,0.2582021,10.698568,28.21172
22.801,-1.7621324,0.6560112,5.00867,-2.2361848,0.031124624,0,0.00013323122,0.00013323122,0.015055132,0.006395098,0.006395098,0.01811945,10.31544,28.201752
23.121008,0.3064578,0.004788404,0.3854665,-2.413355,0.10534488,0,0.520401,0.520401,0.0682144,0.1971822,0.1971822,-0.818173,10.59816,28.206832
23.444,2.528277,2.456451,5.09486,0.3064578,0.3734955,0,-0.4082204,-0.4082204,-0.2643308,-0.3837061,-0.3837061,-0.2643308,10.44491,28.206832
23.759008,1.877054,0.3112462,2.75812,1.297657,0.6129156,0,0.00013323122,0.00013323122,-0.3394732,0.2062419,0.2062419,-0.4076875,10.487184,28.206832
24.231008,-2.44448,-1.9728224,6.435614,0.6344634,-2.286462,0,0.05329249,0.05329249,0.13709492,0.3538622,0.3538622,0.23088976,10.529464,28.19434
24.54901,-2.296039,-1.187524,6.282386,-2.420538,0.04788404,0,0.4156814,0.4156814,0.026646248,0.5585054,0.5585054,-0.6773478,10.669504,28.2166
24.873004,-4.28562,-4.738126,4.309564,-4.898538,-2.442086,0,0.1449556,0.1449556,0.6171272,0.6395102,0.6395102,0.7014624,10.72499,28.21914
25.18801,-4.137181,-4.673482,9.825802,-3.792415,-4.659118,0,0.1376279,0.1376279,0.1795957,0.09659268,0.09659268,0.149219,10.738204,28.23398
25.509008,-2.42772,-4.900932,5.286396,-2.317587,-4.903324,0,0.3096294,0.3096294,-0.4092863,0.3410721,0.3410721,-0.4091532,10.754056,28.2291
25.827,-2.202666,-4.903324,4.97994,-2.219425,-5.353434,0,0.1390934,0.1390934,0.0687473,0.05675652,0.05675652,0.07061256,10.5004,28.243948
26.143,-2.394202,-4.577714,6.59842,-2.44448,-6.272808,0,0.005329252,0.005329252,0.3092298,0.2059755,0.2059755,0.3623891,10.529464,28.23906
26.459992,-1.9153616,-4.898538,6.167464,-1.2162544,-7.264008,0,0.17053608,0.17053608,-0.4595146,0.2813843,0.2813843,-0.4929555,10.682714,28.246484
26.922,-4.441244,-2.75812,5.8227,-4.472369,-3.572149,0,-0.5062786,-0.5062786,0.021583452,-0.4775007,-0.4775007,0.0085268,10.542672,28.22168
27.23401,-7.268796,-3.677493,6.442798,-7.31668,-3.677493,0,-0.2973722,-0.2973722,-0.2334211,-0.305899,-0.305899,-0.2165008,10.85182,28.23398
27.546,-6.605603,-4.891354,6.162674,-6.124368,-3.313575,0,0.07780706,0.07780706,0.03863708,0.05435836,0.05435836,0.0006661564,10.331292,28.24883
27.858,-4.213796,-4.060566,5.540182,-3.502717,-2.987964,0,0.4263399,0.4263399,0.1706692,0.005462482,0.005462482,0.17186832,10.669504,28.246484
28.172,-3.359065,-3.65834,5.54497,-3.514688,-3.655946,0,0.0788729,0.0788729,-0.2608668,0.0730107,0.0730107,-0.2555376,10.555884,28.25391
28.482,-4.359842,1.532289,2.760515,-4.898538,0.2394202,0,0.20943952,0.20943952,-0.4581823,0.0362389,0.0362389,-0.40902,10.867672,28.25625
28.788008,-3.05979,0.03830722,4.137181,-3.351882,0.002394202,0,0.0234487,0.0234487,-0.23875036,0.0021317,0.0021317,-0.2515406,10.78312,28.261324
29.24799,-4.903324,-4.862624,5.363012,-3.65834,-4.879384,0,0.5537092,0.5537092,-0.5105422,0.5457152,0.5457152,-0.5045468,10.65629,28.241408
29.56299,-6.727708,-2.973599,9.825802,0.22984332,-3.514688,0,0.0,0.0,0.5798224,-0.9107688,-0.9107688,0.0002664625,10.754056,28.25625
29.87201,0.6272808,-2.408567,7.37414,1.37906,-2.432509,0,-0.8835896,-0.8835896,0.0011990812,-0.4711057,-0.4711057,-0.20237824,10.59816,28.26621
30.186,1.268927,0.06464346,4.903324,0.08619126,0.0,0,0.010658504,0.010658504,0.05169373,0.063951,0.063951,0.02131701,10.542672,28.261324
30.49301,-4.232949,-1.055843,7.757214,0.0,-1.9608516,0,-0.1870567,-0.1870567,1.501782,0.003464013,0.003464013,0.07354362,10.442266,28.26621
30.804992,-7.259218,-4.266466,7.517792,-7.04853,-4.280833,0,0.0362389,0.0362389,0.136562,0.0,0.0,0.136562,10.386776,28.26621
31.11801,-4.903324,-4.853048,5.533,-4.707002,-7.309498,0,0.010658504,0.010658504,0.08553446,0.05275958,0.05275958,0.08526804,10.31544,28.27109
31.581996,-4.817134,-6.124368,6.557719,-4.28562,-7.194577,0,-0.5105422,-0.5105422,0.01811945,-0.2933752,-0.2933752,0.14735376,10.289016,28.243948
31.901004,0.19393036,3.734954,4.903324,0.68953,0.1556231,0,0.7183826,0.7183826,-0.6714856,0.006928026,0.006928026,0.2735237,10.487184,28.261324
32.21601,1.37906,-6.847416,7.536946,0.09576808,-6.11479,0,0.588349,0.588349,0.966726,1.228792,1.228792,0.890251,10.45812,28.27363
32.534,0.20350716,1.25935,5.056554,0.3112462,0.009576806,0,-0.3703828,-0.3703828,0.0021317,-0.5441164,-0.5441164,-0.19291884,10.429056,28.25625
32.849,0.6200982,0.1556231,10.1562,0.3160346,0.01915361,0,-1.090231,-1.090231,1.092496,-1.841789,-1.841789,0.17160184,10.31808,28.27617
33.165,2.796427,-3.505111,6.983886,1.4077904,-1.0702084,0,0.05222666,0.05222666,-0.9464746,1.0967596,1.0967596,-0.9848454,10.386776,28.27363
33.48299,-4.884172,0.3926491,4.448426,-4.865018,0.004788404,0,0.1450888,0.1450888,-0.8015192,0.2067749,0.2067749,-0.8009862,10.19125,28.27363
33.8,-6.129156,-2.432509,9.964666,-6.730102,0.01197101,0,1.095827,1.095827,0.23875036,1.057456,1.057456,0.5728942,10.20446,28.27363
34.26699,0.002394202,1.539472,4.922478,0.1244985,1.436521,0,0.00013323122,0.00013323122,-0.4775007,0.2899112,0.2899112,-0.5413186,10.27316,28.25391
34.58199,-6.742072,1.237802,9.9934,-7.266402,1.685518,0,1.4511544,1.4511544,1.2321224,0.3453353,0.3453353,1.442095,10.39999,28.281052
34.9,0.004788404,0.23463176,10.1993,0.3639187,1.7645264,0,0.04290046,0.04290046,-0.4775007,0.019718224,0.019718224,-0.23448696,10.175396,28.278516
35.219,1.273715,1.2761092,4.984728,1.455675,1.089362,0,0.3146922,0.3146922,-0.3389403,0.17266764,0.17266764,-0.3409387,10.022144,28.281052
35.54,2.592921,0.4596867,4.97994,0.01915361,0.7757214,0,0.0,0.0,-0.6810778,0.02997703,0.02997703,0.002664626,10.019504,28.29102
35.85999,0.03830722,0.73502,9.866506,0.344765,0.4620809,0,0.0358392,0.0358392,0.0042634,0.0023981624,0.0023981624,0.00439663,10.442266,28.28848
36.17701,-4.898538,1.2545616,5.612008,-4.649538,1.5705964,0,0.004663094,0.004663094,-0.529461,0.2987044,0.2987044,-0.5158714,10.51361,28.29336
36.64301,-4.57532,1.0749968,5.556942,-4.745308,0.6560112,0,-0.3677183,-0.3677183,0.2733904,0.00013323122,0.00013323122,0.10658498,10.331292,28.26621
